product_id,user_id,review_text,timestamp,rating,verified_purchase
P300,U_SWARM_01,Worst product ever. Scam. Do not buy.,2026-03-18 18:00:00,1,FALSE
P301,U_SWARM_01,Worst product ever. Scam. Do not buy.,2026-03-18 18:03:00,1,FALSE
P302,U_SWARM_01,Worst product ever. Scam. Do not buy.,2026-03-18 18:06:00,1,FALSE
P303,U_SWARM_01,Worst product ever. Scam. Do not buy.,2026-03-18 18:09:00,1,FALSE
P350,U_BOMB_N01,Do not buy. Worst purchase ever.,2026-03-18 18:00:00,1,FALSE
P350,U_BOMB_N02,Worst product ever. Scam. Do not buy.,2026-03-18 18:01:00,1,FALSE
P350,U_BOMB_N03,Do not buy. Worst purchase ever.,2026-03-18 18:02:00,1,FALSE
P350,U_BOMB_N04,Do not buy. Worst purchase ever.,2026-03-18 18:03:00,1,FALSE
P350,U_BOMB_N05,Worst product ever. Scam. Do not buy.,2026-03-18 18:04:00,1,FALSE
P350,U_BOMB_N06,Do not buy. Worst purchase ever.,2026-03-18 18:05:00,1,FALSE
P350,U_BOMB_N07,Do not buy. Worst purchase ever.,2026-03-18 18:06:00,1,FALSE
P350,U_BOMB_N08,One star. Scam product and terrible quality.,2026-03-18 18:07:00,1,FALSE
P360,U_BOMB_P01,"Best purchase ever, highly recommended.",2026-03-18 18:10:00,5,FALSE
P360,U_BOMB_P02,"Five stars, amazing product, must buy.",2026-03-18 18:13:00,5,FALSE
P360,U_BOMB_P03,"Must buy! Best product ever, highly recommended.",2026-03-18 18:16:00,5,FALSE
P360,U_BOMB_P04,"Five stars, amazing product, must buy.",2026-03-18 18:19:00,5,FALSE
P360,U_BOMB_P05,"Five stars, amazing product, must buy.",2026-03-18 18:22:00,5,FALSE
P360,U_BOMB_P06,"Must buy! Best product ever, highly recommended.",2026-03-18 18:25:00,5,FALSE
P360,U_BOMB_P07,"Five stars, amazing product, must buy.",2026-03-18 18:28:00,5,FALSE
P370,U_GROUP_01,Worst product ever. Scam. Do not buy.,2026-03-18 18:40:00,1,FALSE
P370,U_GROUP_02,Worst product ever. Scam. Do not buy.,2026-03-18 18:42:00,1,FALSE
P370,U_GROUP_03,Worst product ever. Scam. Do not buy.,2026-03-18 18:44:00,1,FALSE
P370,U_GROUP_04,"Best product ever, must buy, highly recommended.",2026-03-18 18:46:00,5,FALSE
P370,U_GROUP_05,"Best product ever, must buy, highly recommended.",2026-03-18 18:48:00,5,FALSE
P370,U_GROUP_06,"Best product ever, must buy, highly recommended.",2026-03-18 18:50:00,5,FALSE
P300,U_NORM_01,Satisfied with the order overall.,2026-03-18 20:00:00,4,TRUE
P370,U_NORM_02,Delivery was fine and the item works as expected.,2026-03-18 20:10:00,3,TRUE
P380,U_NORM_03,Average quality but acceptable for the price.,2026-03-18 20:20:00,3,TRUE
P301,U_NORM_04,Average quality but acceptable for the price.,2026-03-18 20:30:00,3,TRUE
P370,U_NORM_05,Satisfied with the order overall.,2026-03-18 20:40:00,3,TRUE
