product_id,user_id,review_text,timestamp,rating,verified_purchase
P100,U001,Product quality is decent and delivery was on time.,2026-03-18 09:00:00,4,TRUE
P101,U001,Works as expected and packaging was fine.,2026-03-18 09:12:00,3,TRUE
P103,U002,Product quality is decent and delivery was on time.,2026-03-18 09:45:00,3,TRUE
P101,U002,Works as expected and packaging was fine.,2026-03-18 09:57:00,3,TRUE
P103,U003,Works as expected and packaging was fine.,2026-03-18 10:30:00,5,TRUE
P100,U003,Works as expected and packaging was fine.,2026-03-18 10:42:00,5,TRUE
P102,U004,Works as expected and packaging was fine.,2026-03-18 11:15:00,4,TRUE
P100,U004,Product quality is decent and delivery was on time.,2026-03-18 11:27:00,5,TRUE
P102,U005,"Good value for the price, no major issues so far.",2026-03-18 12:00:00,4,TRUE
P103,U005,"Satisfied with the purchase, performance is stable.",2026-03-18 12:12:00,3,FALSE
P100,U006,"Satisfied with the purchase, performance is stable.",2026-03-18 12:45:00,4,TRUE
P101,U006,"Average experience overall, but customer support was helpful.",2026-03-18 12:57:00,3,TRUE
P101,U007,"Good value for the price, no major issues so far.",2026-03-18 13:30:00,3,TRUE
P100,U007,"The item is okay, setup took a few minutes.",2026-03-18 13:42:00,4,FALSE
P102,U008,Works as expected and packaging was fine.,2026-03-18 14:15:00,4,TRUE
P101,U008,"Average experience overall, but customer support was helpful.",2026-03-18 14:27:00,4,TRUE
P101,U009,"Satisfied with the purchase, performance is stable.",2026-03-18 15:00:00,4,TRUE
P103,U009,"The item is okay, setup took a few minutes.",2026-03-18 15:12:00,4,TRUE
P102,U010,Product quality is decent and delivery was on time.,2026-03-18 15:45:00,4,TRUE
P102,U010,"The item is okay, setup took a few minutes.",2026-03-18 15:57:00,4,TRUE
P101,U011,"Satisfied with the purchase, performance is stable.",2026-03-18 16:30:00,4,TRUE
P103,U011,"The item is okay, setup took a few minutes.",2026-03-18 16:42:00,5,TRUE
P102,U012,Works as expected and packaging was fine.,2026-03-18 17:15:00,4,TRUE
P103,U012,"Satisfied with the purchase, performance is stable.",2026-03-18 17:27:00,5,TRUE
P100,U900,Bought this for home use and it performs well.,2026-03-18 19:00:00,4,TRUE
P102,U900,Tried this version too; it feels consistent with the brand.,2026-03-18 20:00:00,4,TRUE
P103,U900,A reliable product with reasonable quality control.,2026-03-18 21:00:00,5,TRUE
