product_id,user_id,review_text,timestamp,rating,verified_purchase
P200,U_SPAM_01,"Must buy! Best product ever, highly recommended.",2026-03-18 14:00:00,5,FALSE
P201,U_SPAM_01,"Excellent quality, must buy, five stars.",2026-03-18 14:05:00,5,FALSE
P202,U_SPAM_01,"Amazing product, highly recommended, best purchase.",2026-03-18 14:10:00,5,FALSE
P203,U_SPAM_01,"Best product ever, must buy without doubt.",2026-03-18 14:15:00,5,FALSE
P204,U_SPAM_01,"Highly recommended, excellent, must buy now.",2026-03-18 14:20:00,5,FALSE
P250,U_SPAM_02,"Must buy! Best product ever, highly recommended.",2026-03-18 14:12:00,5,FALSE
P250,U_SPAM_03,"Must buy! Best product ever, highly recommended.",2026-03-18 14:13:00,5,FALSE
P250,U_SPAM_04,"Amazing quality, must buy, excellent product.",2026-03-18 14:14:00,5,FALSE
P250,U_SPAM_05,"Best product ever, five stars, highly recommended.",2026-03-18 14:15:00,5,FALSE
P250,U_SPAM_06,"Must buy! Best product ever, highly recommended.",2026-03-18 14:16:00,5,FALSE
P260,U_NEG_01,Worst product ever. Scam. Do not buy.,2026-03-18 14:20:00,1,FALSE
P260,U_NEG_02,Worst product ever. Scam. Do not buy.,2026-03-18 14:22:00,1,FALSE
P260,U_NEG_03,Worst product ever. Scam. Do not buy.,2026-03-18 14:24:00,1,FALSE
P260,U_NEG_04,"Terrible quality, one star, do not buy.",2026-03-18 14:26:00,1,FALSE
P260,U_NEG_05,Worst product ever. Scam. Do not buy.,2026-03-18 14:28:00,1,FALSE
P260,U_NEG_06,"Terrible quality, one star, do not buy.",2026-03-18 14:30:00,1,FALSE
P260,U_BG_01,The product arrived on time and works fine.,2026-03-18 16:00:00,3,TRUE
P260,U_BG_02,The product arrived on time and works fine.,2026-03-18 16:15:00,4,TRUE
P270,U_BG_03,The product arrived on time and works fine.,2026-03-18 16:30:00,4,TRUE
P270,U_BG_04,The product arrived on time and works fine.,2026-03-18 16:45:00,4,TRUE
