product_id,user_id,review_text,timestamp,rating,verified_purchase,
P1,U1,Best product ever!!! Must buy now!!!,2025-06-01 10:00:00,5,0,
P1,U2,Highly recommended!!! Amazing quality!!!,2025-06-01 10:01:00,5,0,
P1,U3,Excellent product!!! Buy now!!!,2025-06-01 10:02:00,5,0,
P1,U4,This product is good and works fine.,2025-06-02 12:00:00,4,1,
P1,U5,Delivery was late but product is okay.,2025-06-03 14:00:00,3,1,
P1,U1,Must buy!!! Best deal ever!!!,2025-06-01 10:03:00,5,0,
P1,U2,Superb!!! Worth every penny!!!,2025-06-01 10:04:00,5,0,
P1,U3,Amazing!!! Loved it!!!,2025-06-01 10:05:00,5,0,
P1,U6,Not satisfied with the quality.,2025-06-04 09:00:00,2,1,
P1,U7,The battery backup is poor.,2025-06-05 08:00:00,2,1,
P2,U10,Best product ever!!! Must buy!!!,2025-06-10 11:00:00,5,0,
P2,U10,Best product ever!!! Must buy!!!,2025-06-10 11:01:00,5,0,
P2,U10,Best product ever!!! Must buy!!!,2025-06-10 11:02:00,5,0,
P2,U11,Good product overall.,2025-06-11 13:00:00,4,1,
P2,U12,Works as expected.,2025-06-12 15:00:00,4,1,
P2,U13,Not worth the price.,2025-06-13 16:00:00,2,1,
P2,U14,Very bad experience.,2025-06-13 16:01:00,1,1,
P2,U15,Customer support was helpful.,2025-06-14 18:00:00,4,1,
P2,U16,Highly recommended!!! Buy now!!!,2025-06-10 11:03:00,5,0,
P2,U17,Amazing product!!! Must buy!!!,2025-06-10 11:04:00,5,0,
P3,U20,The product quality is average.,2025-06-20 10:00:00,3,1,
P3,U21,Decent for the price.,2025-06-21 11:00:00,3,1,
P3,U22,Good but could be better.,2025-06-22 12:00:00,4,1,
P3,U23,Not bad.,2025-06-23 13:00:00,3,1,
P3,U24,Very good product.,2025-06-24 14:00:00,4,1,
P3,U25,Highly recommended!!!,2025-06-20 10:01:00,5,0,
P3,U25,Highly recommended!!!,2025-06-20 10:02:00,5,0,
P3,U25,Highly recommended!!!,2025-06-20 10:03:00,5,0,
P3,U26,Worst product ever.,2025-06-25 15:00:00,1,1,
P3,U27,Completely useless.,2025-06-25 15:01:00,1,1,
P4,U30,Amazing!!! Loved it!!!,2025-07-01 09:00:00,5,0,
P4,U31,Best product!!! Must buy!!!,2025-07-01 09:01:00,5,0,
P4,U32,Superb!!! Highly recommended!!!,2025-07-01 09:02:00,5,0,
P4,U33,Product is okay.,2025-07-02 10:00:00,3,1,
P4,U34,Delivery was fast.,2025-07-03 11:00:00,4,1,
P4,U35,Very useful product.,2025-07-04 12:00:00,4,1,
P4,U36,Quality is not good.,2025-07-05 13:00:00,2,1,
P4,U37,Returned the item.,2025-07-06 14:00:00,1,1,
P4,U30,Amazing!!! Loved it!!!,2025-07-01 09:03:00,5,0,
P4,U30,Amazing!!! Loved it!!!,2025-07-01 09:04:00,5,0,
P5,U40,Works perfectly fine.,2025-07-10 10:00:00,4,1,
P5,U41,Good purchase.,2025-07-11 11:00:00,4,1,
P5,U42,Very nice product.,2025-07-12 12:00:00,4,1,
P5,U43,Highly recommended!!! Must buy!!!,2025-07-10 10:01:00,5,0,
P5,U43,Highly recommended!!! Must buy!!!,2025-07-10 10:02:00,5,0,
P5,U43,Highly recommended!!! Must buy!!!,2025-07-10 10:03:00,5,0,
P5,U44,Not satisfied.,2025-07-13 13:00:00,2,1,
P5,U45,Very poor quality.,2025-07-14 14:00:00,1,1,
P5,U46,Good for daily use.,2025-07-15 15:00:00,4,1,
P5,U47,Average product.,2025-07-16 16:00:00,3,1,
P6,U50,Best product ever!!! Must buy!!!,2025-07-20 08:00:00,5,0,
P6,U51,Highly recommended!!!,2025-07-20 08:01:00,5,0,
P6,U52,Amazing!!! Buy now!!!,2025-07-20 08:02:00,5,0,
P6,U53,Excellent!!! Superb!!!,2025-07-20 08:03:00,5,0,
P6,U54,Good quality product.,2025-07-21 09:00:00,4,1,
P6,U55,Works as expected.,2025-07-22 10:00:00,4,1,
P6,U56,Not good.,2025-07-23 11:00:00,2,1,
P6,U57,Very bad.,2025-07-24 12:00:00,1,1,
P6,U50,Best product ever!!! Must buy!!!,2025-07-20 08:04:00,5,0,
P6,U50,Best product ever!!! Must buy!!!,2025-07-20 08:05:00,5,0,
P7,U60,Great product.,2025-08-01 10:00:00,4,1,
P7,U61,Good value for money.,2025-08-02 11:00:00,4,1,
P7,U62,Average experience.,2025-08-03 12:00:00,3,1,
P7,U63,Highly recommended!!! Must buy!!!,2025-08-01 10:01:00,5,0,
P7,U63,Highly recommended!!! Must buy!!!,2025-08-01 10:02:00,5,0,
P7,U63,Highly recommended!!! Must buy!!!,2025-08-01 10:03:00,5,0,
